Meniu for day 1
Normal Menu
Soup:,Broccoli Cheese Soup
Main dish:,Chicken and Potatoes with Dijon Cream Sauce
Dessert:,Blueberry muffins

Vegetarian Menu
Soup:,Broccoli Cheese Soup
Main dish:,Spinach & ricotta gnocchi
Dessert:,Blueberry muffins

Flexitarian Menu
Soup:,Broccoli Cheese Soup
Main dish:,Falafel Fish with Israeli Salad
Dessert:,Blueberry muffins

Meniu for day 2
Normal Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Spaghetti bolognese
Dessert:,Black Forest tart

Vegetarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Spinach & ricotta gnocchi
Dessert:,Black Forest tart

Flexitarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Snapper Fra Diavolo
Dessert:,Black Forest tart

Meniu for day 3
Normal Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Chicken piccata with garlicky greens & new potatoes
Dessert:,Blueberry muffins

Vegetarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Indian butternut squash curry
Dessert:,Blueberry muffins

Flexitarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Hot-smoked Alaskan Sockeye Salmon
Dessert:,Blueberry muffins

Meniul pentru ziua 1
Meniu normal
Supa:,
Fel principal:,
Desert:,

 Meniu vegetarian
Supa:,
Fel principal:,
Desert:,

Meniu flexitarian
Supa:,
Fel principal:,
Desert:,

Meniul pentru ziua 2
Meniu normal
Supa:,
Fel principal:,
Desert:,

 Meniu vegetarian
Supa:,
Fel principal:,
Desert:,

Meniu flexitarian
Supa:,
Fel principal:,
Desert:,

Meniul pentru ziua 3
Meniu normal
Supa:,
Fel principal:,
Desert:,

 Meniu vegetarian
Supa:,
Fel principal:,
Desert:,

Meniu flexitarian
Supa:,
Fel principal:,
Desert:,

Meniu for day 1
Normal Menu
Soup:,Broccoli Cheese Soup
Main dish:,Chicken and Potatoes with Dijon Cream Sauce
Dessert:,Blueberry muffins

Vegetarian Menu
Soup:,Broccoli Cheese Soup
Main dish:,Spinach & ricotta gnocchi
Dessert:,Blueberry muffins

Flexitarian Menu
Soup:,Broccoli Cheese Soup
Main dish:,Falafel Fish with Israeli Salad
Dessert:,Blueberry muffins

Meniu for day 2
Normal Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Spaghetti bolognese
Dessert:,Black Forest tart

Vegetarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Spinach & ricotta gnocchi
Dessert:,Black Forest tart

Flexitarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Snapper Fra Diavolo
Dessert:,Black Forest tart

Meniu for day 3
Normal Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Chicken piccata with garlicky greens & new potatoes
Dessert:,Blueberry muffins

Vegetarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Indian butternut squash curry
Dessert:,Blueberry muffins

Flexitarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Hot-smoked Alaskan Sockeye Salmon
Dessert:,Blueberry muffins

Meniu for day 1
Normal Menu
Soup:,Broccoli Cheese Soup
Main dish:,Chicken and Potatoes with Dijon Cream Sauce
Dessert:,Blueberry muffins

Vegetarian Menu
Soup:,Broccoli Cheese Soup
Main dish:,Spinach & ricotta gnocchi
Dessert:,Blueberry muffins

Flexitarian Menu
Soup:,Broccoli Cheese Soup
Main dish:,Falafel Fish with Israeli Salad
Dessert:,Blueberry muffins

Meniu for day 2
Normal Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Spaghetti bolognese
Dessert:,Black Forest tart

Vegetarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Spinach & ricotta gnocchi
Dessert:,Black Forest tart

Flexitarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Snapper Fra Diavolo
Dessert:,Black Forest tart

Meniu for day 3
Normal Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Chicken piccata with garlicky greens & new potatoes
Dessert:,Blueberry muffins

Vegetarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Indian butternut squash curry
Dessert:,Blueberry muffins

Flexitarian Menu
Soup:,Butternut Squash Chipotle Chili with Avocado
Main dish:,Hot-smoked Alaskan Sockeye Salmon
Dessert:,Blueberry muffins

Meniul pentru ziua 1
Meniu normal
Supa:,
Fel principal:,
Desert:,

 Meniu vegetarian
Supa:,
Fel principal:,
Desert:,

Meniu flexitarian
Supa:,
Fel principal:,
Desert:,

Meniul pentru ziua 2
Meniu normal
Supa:,
Fel principal:,
Desert:,

 Meniu vegetarian
Supa:,
Fel principal:,
Desert:,

Meniu flexitarian
Supa:,
Fel principal:,
Desert:,

Meniul pentru ziua 3
Meniu normal
Supa:,
Fel principal:,
Desert:,

 Meniu vegetarian
Supa:,
Fel principal:,
Desert:,

Meniu flexitarian
Supa:,
Fel principal:,
Desert:,

